city,lat,lng,country,iso2,capital,population,population_proper
Boldaji,31.9333,51.1667,Iran,IR,,8000,8000
Chelgard,32.4667,50.1167,Iran,IR,,5000,5000
Naghan,31.9167,50.8333,Iran,IR,,7000,7000
Junqan,32.1167,50.8000,Iran,IR,,6000,6000
Ilam,33.6374,46.4227,Iran,IR,admin,194030,194030
Dehloran,32.6941,47.2679,Iran,IR,,60000,60000
Mehran,33.1222,46.1642,Iran,IR,,27000,27000
Abdanan,32.9922,47.4194,Iran,IR,,25000,25000
Eyvan,33.8286,46.3094,Iran,IR,,30000,30000
Sarableh,33.7611,46.5725,Iran,IR,,15000,15000
Badreh,33.3061,47.0261,Iran,IR,,10000,10000
Asemanabad,33.7333,46.5833,Iran,IR,,8000,8000
Chavar,33.7333,46.5667,Iran,IR,,7000,7000
Arkavaz,33.8333,46.4167,Iran,IR,,5000,5000
Arak,34.0917,49.6892,Iran,IR,admin,526182,526182
Saveh,35.0211,50.3569,Iran,IR,,220762,220762
Khomeyn,33.6425,50.0783,Iran,IR,,65000,65000
Delijan,33.9908,50.6833,Iran,IR,,45000,45000
Mahallat,33.9078,50.4533,Iran,IR,,35000,35000
Tafresh,34.6933,50.0167,Iran,IR,,15000,15000
Ashtian,34.5211,50.0067,Iran,IR,,10000,10000
Komijan,34.7194,49.3267,Iran,IR,,20000,20000
Shazand,33.9358,49.4111,Iran,IR,,30000,30000
Qom,34.6399,50.8759,Iran,IR,admin,1201158,1201158
